电影名,评分,演员,链接,图片
肖申克的救赎,9.7,蒂姆·罗宾斯摩根·弗里曼鲍勃·冈顿,https://movie.douban.com/subject/1292052/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,9.6,张国荣张丰毅巩俐,https://movie.douban.com/subject/1291546/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
阿甘正传,9.5,汤姆·汉克斯罗宾·怀特加里·西尼斯,https://movie.douban.com/subject/1292720/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1484728154.jpg
这个杀手不太冷,9.4,让·雷诺娜塔莉·波特曼加里·奥德曼,https://movie.douban.com/subject/1295644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
美丽人生,9.5,罗伯托·贝尼尼尼可莱塔·布拉斯基乔治·坎塔里尼,https://movie.douban.com/subject/1292063/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
泰坦尼克号,9.4,莱昂纳多·迪卡普里奥凯特·温丝莱特比利·赞恩,https://movie.douban.com/subject/1292722/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
千与千寻,9.3,柊瑠美入野自由夏木真理,https://movie.douban.com/subject/1291561/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
辛德勒的名单,9.5,连姆·尼森本·金斯利拉尔夫·费因斯,https://movie.douban.com/subject/1295124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
盗梦空间,9.3,莱昂纳多·迪卡普里奥约瑟夫·高登-莱维特艾伦·佩吉,https://movie.douban.com/subject/3541415/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
忠犬八公的故事,9.4,理查·基尔萨拉·罗默尔琼·艾伦,https://movie.douban.com/subject/3011091/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p524964016.jpg
海上钢琴师,9.3,蒂姆·罗斯普路特·泰勒·文斯比尔·努恩,https://movie.douban.com/subject/1292001/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
机器人总动员,9.3,本·贝尔特艾丽莎·奈特杰夫·格尔林,https://movie.douban.com/subject/2131459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
三傻大闹宝莱坞,9.2,阿米尔·汗卡琳娜·卡普尔马达范,https://movie.douban.com/subject/3793023/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
楚门的世界,9.3,金·凯瑞劳拉·琳妮艾德·哈里斯,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
放牛班的春天,9.3,热拉尔·朱尼奥弗朗索瓦·贝莱昂凯德·麦拉德,https://movie.douban.com/subject/1291549/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
星际穿越,9.3,马修·麦康纳安妮·海瑟薇杰西卡·查斯坦,https://movie.douban.com/subject/1889243/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206088801.jpg
大话西游之大圣娶亲,9.2,周星驰吴孟达朱茵,https://movie.douban.com/subject/1292213/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,9.3,孔侑郑有美金贤秀,https://movie.douban.com/subject/5912992/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
疯狂动物城,9.2,金妮弗·古德温杰森·贝特曼伊德里斯·艾尔巴,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg
无间道,9.2,刘德华梁朝伟黄秋生,https://movie.douban.com/subject/1307914/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
蝙蝠侠：黑暗骑士,9.2,克里斯蒂安·贝尔希斯·莱杰艾伦·艾克哈特,https://movie.douban.com/subject/1851857/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
控方证人,9.6,泰隆·鲍华玛琳·黛德丽查尔斯·劳顿,https://movie.douban.com/subject/1296141/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
活着,9.2,葛优巩俐姜武,https://movie.douban.com/subject/1292365/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2513253791.jpg
乱世佳人,9.3,费雯·丽克拉克·盖博奥利维娅·德哈维兰,https://movie.douban.com/subject/1300267/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
末代皇帝,9.2,尊龙陈冲邬君梅,https://movie.douban.com/subject/1293172/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
寻梦环游记,9.1,安东尼·冈萨雷斯盖尔·加西亚·贝纳尔本杰明·布拉特,https://movie.douban.com/subject/20495023/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg
摔跤吧！爸爸,9.0,阿米尔·汗法缇玛·萨那·纱卡桑亚·玛荷塔,https://movie.douban.com/subject/26387939/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2457983084.jpg
少年派的奇幻漂流,9.1,苏拉·沙玛伊尔凡·可汗拉菲·斯波,https://movie.douban.com/subject/1929463/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
指环王3：王者无敌,9.2,维果·莫腾森伊利亚·伍德西恩·奥斯汀,https://movie.douban.com/subject/1291552/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg
飞屋环游记,9.0,爱德华·阿斯纳克里斯托弗·普卢默乔丹·长井,https://movie.douban.com/subject/2129039/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg
十二怒汉,9.4,亨利·方达马丁·鲍尔萨姆约翰·菲德勒,https://movie.douban.com/subject/1293182/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
鬼子来了,9.2,姜文香川照之袁丁,https://movie.douban.com/subject/1291858/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
何以为家,9.1,赞恩·阿尔·拉菲亚约丹诺斯·希费罗博鲁瓦蒂夫·特雷杰·班科尔,https://movie.douban.com/subject/30170448/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
天空之城,9.1,田中真弓横泽启子初井言荣,https://movie.douban.com/subject/1291583/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg
大话西游之月光宝盒,9.0,周星驰吴孟达罗家英,https://movie.douban.com/subject/1299398/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
哈尔的移动城堡,9.0,倍赏千惠子木村拓哉美轮明宏,https://movie.douban.com/subject/1308807/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg
天堂电影院,9.2,安东内拉·阿蒂利恩佐·卡拉瓦勒艾萨·丹尼埃利,https://movie.douban.com/subject/1291828/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2559577569.jpg
素媛,9.2,薛景求严志媛李来,https://movie.douban.com/subject/21937452/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
罗马假日,9.0,奥黛丽·赫本格利高里·派克埃迪·艾伯特,https://movie.douban.com/subject/1293839/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
闻香识女人,9.1,阿尔·帕西诺克里斯·奥唐纳詹姆斯·瑞布霍恩,https://movie.douban.com/subject/1298624/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
窃听风暴,9.1,乌尔里希·穆埃马蒂娜·格德克塞巴斯蒂安·科赫,https://movie.douban.com/subject/1900841/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
狮子王,9.0,乔纳森·泰勒·托马斯马修·布罗德里克杰瑞米·艾恩斯,https://movie.douban.com/subject/1301753/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg
指环王2：双塔奇兵,9.1,伊利亚·伍德西恩·奥斯汀伊恩·麦克莱恩,https://movie.douban.com/subject/1291572/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p909265336.jpg
